,노선ID,노선명,정류장ID,정류장명,정류장 순서,X좌표,Y좌표
163,293000178,1004번 (반석역~장군면사무소),186004230,반석역,1,127.31514,36.39142
164,293000178,1004번 (반석역~장군면사무소),293055058,세종고속시외버스터미널,2,127.27359,36.46899
165,293000178,1004번 (반석역~장군면사무소),293064010,첫마을3단지,3,127.26117,36.47821
166,293000178,1004번 (반석역~장군면사무소),293064007,한솔중학교(첫마을7단지),4,127.25558,36.47538
167,293000178,1004번 (반석역~장군면사무소),293064005,첫마을6단지,5,127.25308,36.47542
168,293000178,1004번 (반석역~장군면사무소),293064002,첫마을5단지,6,127.25004,36.47770
169,293000178,1004번 (반석역~장군면사무소),293064004,첫마을4단지,7,127.25203,36.47998
170,293000178,1004번 (반석역~장군면사무소),293064241,"새뜸마을5,8단지",8,127.25352,36.48250
171,293000178,1004번 (반석역~장군면사무소),293064239,새롬동커뮤니티센터,9,127.25086,36.48585
172,293000178,1004번 (반석역~장군면사무소),293064237,"가온마을4,7단지",10,127.24981,36.49123
173,293000178,1004번 (반석역~장군면사무소),293064263,다정동커뮤니티센터,11,127.24904,36.49551
174,293000178,1004번 (반석역~장군면사무소),293064307,"가온마을6,9단지",12,127.24918,36.49861
175,293000178,1004번 (반석역~장군면사무소),293064138,"가재마을5,8단지",13,127.24986,36.50047
176,293000178,1004번 (반석역~장군면사무소),293064151,가재마을11단지,14,127.25017,36.50438
177,293000178,1004번 (반석역~장군면사무소),293061004,범지기마을4단지,15,127.24997,36.50839
178,293000178,1004번 (반석역~장군면사무소),293064054,"범지기마을8,12단지",16,127.25041,36.51250
179,293000178,1004번 (반석역~장군면사무소),293064055,아름초등학교,17,127.25115,36.51536
180,293000178,1004번 (반석역~장군면사무소),293064056,범지기마을10단지,18,127.25248,36.51854
181,293000178,1004번 (반석역~장군면사무소),293064102,범지기마을10단지북측,19,127.24837,36.51910
182,293000178,1004번 (반석역~장군면사무소),293064100,"범지기마을3,9단지",20,127.24456,36.51900
183,293000178,1004번 (반석역~장군면사무소),293064098,가락마을22단지,21,127.24111,36.52018
184,293000178,1004번 (반석역~장군면사무소),293064141,고운동커뮤니티센터북측,22,127.23660,36.52025
185,293000178,1004번 (반석역~장군면사무소),293064113,"가락마을17,18단지",23,127.23495,36.51985
186,293000178,1004번 (반석역~장군면사무소),293064115,두루고등학교,24,127.23113,36.51737
187,293000178,1004번 (반석역~장군면사무소),293064117,"가락마을10,13단지",25,127.22938,36.51348
188,293000178,1004번 (반석역~장군면사무소),293064120,"가락마을9,11단지",26,127.22963,36.51056
189,293000178,1004번 (반석역~장군면사무소),293064122,으뜸초등학교,27,127.23147,36.50704
190,293000178,1004번 (반석역~장군면사무소),293064124,고운동커뮤니티센터남측,28,127.23478,36.50433
191,293000178,1004번 (반석역~장군면사무소),293064012,봉안리(다름고개),29,127.22908,36.49924
192,293000178,1004번 (반석역~장군면사무소),293017059,봉안리,30,127.22398,36.49892
193,293000178,1004번 (반석역~장군면사무소),293017049,봉안리(부일가든),31,127.21556,36.50061
194,293000178,1004번 (반석역~장군면사무소),293017043,대교리,32,127.21121,36.50109
195,293000178,1004번 (반석역~장군면사무소),293064173,장군면복지회관,33,127.20807,36.49916
196,293000178,1004번 (반석역~장군면사무소),293017024,장군면사무소,34,127.20531,36.49714
197,293000179,1004번 (장군면사무소~반석역),293017023,장군면사무소,1,127.20511,36.49684
198,293000179,1004번 (장군면사무소~반석역),293064174,장군면복지회관,2,127.20820,36.49905
199,293000179,1004번 (장군면사무소~반석역),293017039,대교리,3,127.21053,36.50069
200,293000179,1004번 (장군면사무소~반석역),293017054,봉안리(부일가든),4,127.21592,36.50016
201,293000179,1004번 (장군면사무소~반석역),293017064,봉안리,5,127.22131,36.49905
202,293000179,1004번 (장군면사무소~반석역),293011001,봉안리(다름고개),6,127.22910,36.49902
