,노선ID,노선명,정류장ID,정류장명,정류장 순서,X좌표,Y좌표,GPS X좌표,GPS Y좌표
72,293000178,1004번 (반석역~장군면사무소),293064054,"범지기마을8,12단지",16,127.25041,36.51250,127.25041,36.51250
73,293000178,1004번 (반석역~장군면사무소),293064055,아름초등학교,17,127.25115,36.51536,127.25115,36.51536
74,293000178,1004번 (반석역~장군면사무소),293064056,범지기마을10단지,18,127.25248,36.51854,127.25248,36.51854
75,293000178,1004번 (반석역~장군면사무소),293064102,범지기마을10단지북측,19,127.24837,36.51910,127.24837,36.51910
76,293000178,1004번 (반석역~장군면사무소),293064100,"범지기마을3,9단지",20,127.24456,36.51900,127.24456,36.51900
77,293000178,1004번 (반석역~장군면사무소),293064098,가락마을22단지,21,127.24111,36.52018,127.24111,36.52018
78,293000178,1004번 (반석역~장군면사무소),293064141,고운동커뮤니티센터북측,22,127.23660,36.52025,127.23660,36.52025
79,293000178,1004번 (반석역~장군면사무소),293064113,"가락마을17,18단지",23,127.23495,36.51985,127.23495,36.51985
80,293000178,1004번 (반석역~장군면사무소),293064115,두루고등학교,24,127.23113,36.51737,127.23113,36.51737
81,293000178,1004번 (반석역~장군면사무소),293064117,"가락마을10,13단지",25,127.22938,36.51348,127.22938,36.51348
82,293000178,1004번 (반석역~장군면사무소),293064120,"가락마을9,11단지",26,127.22963,36.51056,127.22963,36.51056
83,293000178,1004번 (반석역~장군면사무소),293064122,으뜸초등학교,27,127.23147,36.50704,127.23147,36.50704
84,293000178,1004번 (반석역~장군면사무소),293064124,고운동커뮤니티센터남측,28,127.23478,36.50433,127.23478,36.50433
85,293000178,1004번 (반석역~장군면사무소),293064012,봉안리(다름고개),29,127.22908,36.49924,127.22908,36.49924
86,293000178,1004번 (반석역~장군면사무소),293017059,봉안리,30,127.22398,36.49892,127.22398,36.49892
87,293000178,1004번 (반석역~장군면사무소),293017049,봉안리(부일가든),31,127.21556,36.50061,127.21556,36.50061
88,293000178,1004번 (반석역~장군면사무소),293017043,대교리,32,127.21121,36.50109,127.21121,36.50109
89,293000178,1004번 (반석역~장군면사무소),293064173,장군면복지회관,33,127.20807,36.49916,127.20807,36.49916
90,293000178,1004번 (반석역~장군면사무소),293017024,장군면사무소,34,127.20531,36.49714,127.20531,36.49714
91,293000179,1004번 (장군면사무소~반석역),293017023,장군면사무소,1,127.20511,36.49684,127.20511,36.49684
92,293000179,1004번 (장군면사무소~반석역),293064174,장군면복지회관,2,127.20820,36.49905,127.20820,36.49905
93,293000179,1004번 (장군면사무소~반석역),293017039,대교리,3,127.21053,36.50069,127.21053,36.50069
94,293000179,1004번 (장군면사무소~반석역),293017054,봉안리(부일가든),4,127.21592,36.50016,127.21592,36.50016
95,293000179,1004번 (장군면사무소~반석역),293017064,봉안리,5,127.22131,36.49905,127.22131,36.49905
